square_id,model,split,n_seeds,mae,mae_std,rmse,rmse_std,mape,smape,mase,mase_std,r2,bias,n_params,device,lag1_copy_ratio,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step
4159,harmonic_arima,stress,1,9.9275,0.0,12.9147,0.0,9.6057,9.1936,0.12133,0.0,0.88483,4.0454,22,cpu,0.6786,33.824,0.0,126.6187,87.9296
4159,persistence,stress,1,10.1184,0.0,13.3047,0.0,9.5617,9.5011,0.12366,0.0,0.87777,0.013,0,cpu,0.0,0.0,0.0,0.0,0.0
4159,lstm_ensemble,stress,3,19.6593,0.0,23.837,0.0,19.2564,17.0197,0.24027,0.0,0.60765,18.0666,607107,cuda,1.8627,27.48,0.0,0.1626,0.1129
4159,lstm,stress,3,19.8103,1.6096,24.0727,0.8032,19.4086,17.1248,0.24211,0.01967,0.59956,18.0666,202369,cuda,1.8627,9.16,0.055,0.0542,0.0376
4159,lightgbm,stress,1,23.5832,0.0,27.6015,0.0,27.6512,22.5651,0.28823,0.0,0.47394,21.6192,20362,cpu,2.2264,0.883,0.0,0.0183,0.0127
4159,seasonal_naive,stress,1,30.8339,0.0,41.7288,0.0,27.8592,25.7332,0.37684,0.0,-0.20238,4.3399,0,cpu,3.0727,0.0,0.0,0.0,0.0
