square_id,model,weekday_mae,weekend_mae,weekend_penalty,n_weekday,n_weekend,ordinary_mae,holiday_mae,holiday_penalty,n_holiday
5161,persistence,64.86289638943143,84.9399226506551,1.309530214942652,1152,288,86.95457628038194,50.80202700297038,0.584236381523625,720
5161,seasonal_naive,499.5788251724508,201.09350646866693,0.4025260806425312,1152,288,336.67084896299576,543.0926739003924,1.613126516813711,720
5161,harmonic_arima,72.62802326599672,84.83396834735099,1.168061094498615,1152,288,83.01405738307253,67.1243671814626,0.8085903676736802,720
5161,lightgbm,121.15805784267774,95.88646205484159,0.7914163016656225,1152,288,128.01465701378024,104.19282035644079,0.8139132095258816,720
5161,lstm,121.20677329470143,107.9529274841232,0.8906509475476844,1152,288,103.01206374569293,134.09994451947867,1.3017887385552507,720
5161,lstm_ensemble,121.20677329470143,107.9529274841232,0.8906509475476844,1152,288,103.01206374569293,134.09994451947867,1.3017887385552507,720
5059,persistence,57.586282359229195,56.78425847159492,0.9860726573278135,1152,288,66.51356824239095,48.33818692101373,0.7267417490647639,720
5059,seasonal_naive,394.2489345603519,173.4810667567783,0.44002925955966454,1152,288,292.6551439497206,407.53557804955375,1.3925454121509313,720
5059,harmonic_arima,69.64194889764784,55.702257189374706,0.7998377137785134,1152,288,61.72437947008828,71.98364164189812,1.166210859629322,720
5059,lightgbm,92.45891839676091,72.16098415268168,0.7804653721236877,1152,288,76.18016041150278,100.61850268438737,1.3207966764689896,720
5059,lstm,135.8729852851791,66.92968587282539,0.4925900886945921,1152,288,77.59914366539073,166.569507140026,2.1465379548294696,720
5059,lstm_ensemble,135.8729852851791,66.92968587282539,0.4925900886945921,1152,288,77.59914366539073,166.569507140026,2.1465379548294696,720
5259,persistence,35.724836859438156,24.66780357890659,0.6904945059921133,1152,288,37.207714250352645,29.819146156311035,0.8014237573335593,720
5259,seasonal_naive,369.4271569053332,176.88382734192743,0.4788056969706058,1152,288,359.63099357816907,302.205988407135,0.8403224243837254,720
5259,harmonic_arima,33.27310572713845,22.315319033053495,0.6706713589063168,1152,288,33.08734325534912,29.0757535212938,0.878757574970702,720
5259,lightgbm,52.62408753050866,40.20690724614954,0.7640399887758568,1152,288,50.536724325170496,49.74457862210318,0.9843253453078916,720
5259,lstm,76.96088193943166,33.14741854251549,0.4307047646439728,1152,288,56.7098156815153,79.68656283858152,1.4051634956125514,720
5259,lstm_ensemble,76.96088193943166,33.14741854251549,0.4307047646439728,1152,288,56.7098156815153,79.68656283858152,1.4051634956125514,720
