square_id,model,split,n_seeds,mae,mae_std,rmse,rmse_std,mape,smape,mase,mase_std,r2,bias,n_params,device,lag1_copy_ratio,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step
4556,persistence,stress,1,23.1323,0.0,31.9399,0.0,8.9543,8.8849,0.20603,0.0,0.91102,0.0747,0,cpu,0.0,0.0,0.0,0.0,0.0
4556,harmonic_arima,stress,1,24.9583,0.0,33.4736,0.0,10.2468,9.5887,0.22229,0.0,0.90226,16.4334,22,cpu,0.8586,19.206,0.0,126.9197,88.1387
4556,lstm_ensemble,stress,3,46.5629,0.0,55.2281,0.0,21.0232,18.2735,0.41471,0.0,0.73395,42.5502,607107,cuda,1.9355,27.558,0.0,0.1674,0.1163
4556,lstm,stress,3,47.004,7.1835,55.7493,6.8413,21.1707,18.3693,0.41864,0.06398,0.72618,42.5502,202369,cuda,1.9355,9.186,0.041,0.0558,0.0387
4556,lightgbm,stress,1,55.4836,0.0,65.1357,0.0,30.4147,23.7497,0.49416,0.0,0.62993,50.157,21010,cpu,2.2643,0.896,0.0,0.0197,0.0137
4556,seasonal_naive,stress,1,56.5986,0.0,77.4307,0.0,22.475,21.0677,0.50409,0.0,0.47704,11.5839,0,cpu,2.4653,0.0,0.0,0.0,0.0
