strategy,day,source_file_bytes,per_day_inmem_bytes,per_day_peak_rss_bytes,per_day_wall_s,projected_full_ram_bytes,final_artifact_ram_bytes,final_artifact_disk_bytes,available_ram_at_start_bytes,extrapolated,notes
naive_pandas,2013-11-01,322874887,309928132,663814144,5.558,19215544184,,,4713275392,True,"All 8 columns, inferred dtypes (int64/float64), whole file resident. Projection is one day x 62 days; not run over the full dataset."
pandas_chunked,2013-11-01,322874887,5760000,175099904,5.816,175099904,357120000,357120000,4857040896,False,"3 of 8 columns, narrow dtypes, 1M-row chunks aggregated incrementally. chunksize bounds residency by construction."
polars_lazy,2013-11-01,322874887,5760000,586928128,0.856,586928128,357120000,357120000,5153476608,False,"Lazy scan, projection pushdown to 3 of 8 columns, streaming group-by. Peak is dominated by the CSV reader holding the whole file."
pandas_chunked,2013-11-02,315164060,5760000,186146816,6.055,186146816,357120000,357120000,5155254272,False,"3 of 8 columns, narrow dtypes, 1M-row chunks aggregated incrementally. chunksize bounds residency by construction."
polars_lazy,2013-11-02,315164060,5760000,575606784,0.882,575606784,357120000,357120000,5165883392,False,"Lazy scan, projection pushdown to 3 of 8 columns, streaming group-by. Peak is dominated by the CSV reader holding the whole file."
pandas_chunked,2013-11-03,313058344,5760000,181534720,5.714,181534720,357120000,357120000,5164326912,False,"3 of 8 columns, narrow dtypes, 1M-row chunks aggregated incrementally. chunksize bounds residency by construction."
polars_lazy,2013-11-03,313058344,5760000,574586880,1.114,574586880,357120000,357120000,5176606720,False,"Lazy scan, projection pushdown to 3 of 8 columns, streaming group-by. Peak is dominated by the CSV reader holding the whole file."
