model,mase_5059,mase_5161,mase_5259,mase_mean,mase_worst,n_areas
persistence,0.21246,0.19827,0.064,0.15824,0.21246,3
harmonic_arima,0.24735,0.21609,0.05935,0.17426,0.24735,3
lightgbm,0.32706,0.33421,0.09575,0.25234,0.33421,3
lstm_ensemble,0.45169,0.34127,0.13023,0.30773,0.45169,3
lstm,0.45538,0.35294,0.13074,0.31302,0.45538,3
seasonal_naive,1.29529,1.26624,0.63192,1.06448,1.29529,3
